pair_id,baseline__detected_query_keypoints,baseline__detected_refer_keypoints,baseline__ratio_matches,baseline__inverse_consistency_matches,baseline__outlier_filter_matches,baseline__matches_after_consistency,baseline__geometry_inliers,baseline__geometry_inlier_rate,baseline__average_control_point_error,baseline__registration_success,baseline__failure_reason,baseline__query_grid_coverage,baseline__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_44_r_t,284,428,83,77,52,52,52,0.956989247311828,6.048471466289061,True,,0.375,0.875,318,474,70,62,42,42,42,0.9532710280373832,5.787232204768312,True,,0.3125,0.6875
control_points_45_r_t,505,422,139,59,56,56,56,0.9272727272727272,5.46106233075453,True,,0.6875,0.6875,565,471,172,157,143,143,143,0.9405405405405406,5.410128411373212,True,,0.9375,0.875
control_points_46_r_t,547,420,125,52,49,49,48,0.9459459459459459,6.623833538799123,True,,0.6875,0.5625,623,471,156,136,119,119,119,0.9786096256684492,6.805096980118787,True,,0.9375,0.9375
control_points_47_r_t,280,415,57,50,37,37,37,0.9202898550724637,11.930500372282735,True,,0.5,0.625,318,470,52,47,29,29,29,0.9352941176470588,11.951877942226732,True,,0.5,0.5625
control_points_48_r_t,288,428,50,41,22,22,21,0.9044117647058824,12.49510824291152,True,,0.4375,0.5,320,474,42,30,17,17,17,0.9312977099236641,13.332730014989515,True,,0.3125,0.3125
control_points_49_r_t,254,390,69,59,49,49,49,0.9689922480620154,4.701315742922756,True,,0.625,0.75,263,425,65,56,48,48,48,0.9328358208955224,5.362588291801127,True,,0.6875,0.6875
control_points_50_r_t,284,390,108,100,79,79,77,0.9405940594059405,3.6791305062459343,True,,0.5,0.75,318,469,119,110,76,76,76,0.968609865470852,3.2872158754574605,True,,0.5,0.6875
control_points_51_r_t,505,392,160,82,79,79,79,0.9314285714285714,4.064074087086869,True,,0.6875,0.5625,565,432,182,164,138,138,138,0.9534883720930233,3.6275691480498016,True,,0.875,0.75
control_points_52_r_t,547,401,177,78,74,74,73,0.9428571428571428,5.090831123407905,True,,0.9375,0.8125,623,465,192,170,144,144,144,0.9570815450643777,5.244358857498486,True,,1.0,0.9375
control_points_53_r_t,280,390,92,83,60,60,60,0.9411764705882353,8.866876049799371,True,,0.5625,0.75,318,425,93,81,53,53,53,0.9476744186046512,8.696356556186416,True,,0.5625,0.75
control_points_54_r_t,288,390,77,62,40,40,40,0.910828025477707,11.105172947076865,True,,0.5,0.625,320,469,82,72,47,47,47,0.9425287356321839,10.464574739565261,True,,0.5625,0.6875
control_points_55_r_t,420,422,189,176,148,148,147,0.9701492537313433,3.1744376566937462,True,,0.9375,0.8125,472,485,218,205,184,184,184,0.9439655172413793,3.1971089801120463,True,,0.875,0.9375
control_points_56_r_t,378,408,219,204,163,163,159,0.9393939393939394,2.9125841299428026,True,,1.0,1.0,417,466,240,233,210,210,209,0.956,2.191173139522735,True,,0.9375,1.0
control_points_57_r_t,444,422,185,166,141,141,141,0.9560975609756097,3.326337836183154,True,,0.8125,0.875,499,485,206,196,154,154,154,0.9282511210762332,3.768871270334276,True,,0.875,0.9375
control_points_58_r_t,409,408,167,152,136,136,136,0.978021978021978,4.83394927279163,True,,0.8125,0.8125,476,466,199,185,156,156,156,0.9711538461538461,5.6817450849392594,True,,0.75,0.75
