pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_S47_1_2,360,364,273,266,207,207,202,0.899641577060932,1.2819969486757663,True,,0.9375,0.9375,360,358,263,257,221,221,219,0.9418181818181818,1.4130404672506056,True,,0.9375,0.9375,452,457,311,303,263,263,262,0.9265175718849841,1.3775823688569884,True,,1.0,0.875
control_points_S48_1_2,393,364,271,266,203,203,199,0.946236559139785,2.1881704826707713,True,,0.9375,0.875,375,358,271,262,234,234,229,0.9247311827956989,2.2325076649316893,True,,0.9375,1.0,486,457,302,292,252,252,250,0.9182389937106918,2.0395104327983233,True,,0.9375,0.9375
control_points_S49_1_2,362,364,262,253,222,222,217,0.956989247311828,2.113392011251663,True,,1.0,0.9375,366,358,263,257,223,223,219,0.95,2.40168765758963,True,,1.0,0.9375,459,457,318,312,237,237,232,0.937125748502994,1.9067616413310642,True,,1.0,1.0
control_points_S50_1_2,393,360,277,273,237,237,237,0.9428571428571428,1.6227920475182664,True,,1.0,1.0,375,360,273,267,240,240,238,0.9424460431654677,2.516033443985635,True,,0.9375,0.9375,486,452,328,317,269,269,269,0.9164179104477612,1.3543369499436613,True,,0.875,0.8125
control_points_S51_1_2,362,360,265,265,239,239,238,0.9618055555555556,1.3953904746702461,True,,1.0,1.0,366,360,274,265,242,242,239,0.9049295774647887,1.5823543619982556,True,,1.0,0.9375,459,452,313,306,271,271,270,0.9176829268292683,1.323804707957171,True,,0.9375,0.9375
control_points_S52_1_2,362,393,284,281,210,210,208,0.9383561643835616,1.4471195153501497,True,,0.875,0.9375,366,375,290,286,230,230,226,0.9121621621621622,1.0120041430526618,True,,1.0,1.0,459,486,334,332,272,272,257,0.9186746987951807,1.2652882066488769,True,,0.9375,0.9375
control_points_S53_1_2,350,398,262,253,213,213,210,0.9589552238805971,3.6481045445260234,True,,0.9375,0.9375,341,356,256,248,214,214,213,0.9042145593869731,3.3085680054785236,True,,0.875,0.875,450,478,311,301,263,263,263,0.9462025316455697,3.2635039462501303,True,,0.9375,1.0
control_points_S54_1_2,341,344,228,224,179,179,179,0.9567099567099567,2.691534080238668,True,,0.875,0.9375,339,332,224,218,180,180,177,0.9521739130434783,2.441469460426201,True,,0.875,0.9375,446,429,272,263,201,201,201,0.9301470588235294,3.1973652007426048,True,,0.875,0.8125
control_points_S55_1_2,385,376,307,301,266,266,266,0.9546925566343042,1.6168291232950185,True,,1.0,1.0,360,362,298,292,244,244,230,0.9302325581395349,1.2076089409429183,True,,1.0,1.0,486,467,364,352,301,301,301,0.9331476323119777,1.9286975246343956,True,,1.0,1.0
control_points_S56_1_2,382,376,300,297,221,221,212,0.9647435897435898,2.8056720172455454,True,,0.9375,0.9375,360,362,285,278,235,235,231,0.9393939393939394,1.8290363818826294,True,,1.0,1.0,476,467,351,342,285,285,279,0.930939226519337,1.966847957957447,True,,1.0,1.0
control_points_S57_1_2,382,385,322,316,289,289,281,0.8918918918918919,1.279346489177611,True,,1.0,1.0,360,360,294,290,258,258,247,0.8493589743589743,1.2527743036971197,True,,1.0,1.0,476,486,383,378,300,300,290,0.890625,1.1219610839843943,True,,1.0,1.0
control_points_S58_1_2,409,384,283,274,234,234,232,0.9473684210526315,1.7528293984807621,True,,1.0,0.9375,390,381,287,284,258,258,257,0.9337979094076655,1.5834259321271345,True,,0.9375,0.9375,476,483,339,331,311,311,311,0.9514285714285714,2.1226378377299215,True,,1.0,0.9375
control_points_S59_1_2,367,384,240,233,215,215,215,0.9221311475409836,3.43726174782159,True,,0.875,0.875,365,381,228,221,184,184,182,0.9356223175965666,2.2730983712020767,True,,0.875,0.8125,457,483,280,272,232,232,230,0.9577464788732394,2.5601892347431865,True,,0.875,0.875
control_points_S60_1_2,367,409,250,242,215,215,215,0.9752066115702479,2.1855199787074087,True,,0.875,0.875,365,390,240,233,187,187,186,0.9493670886075949,1.9470148718127234,True,,0.875,0.875,457,476,270,260,238,238,238,0.9638989169675091,2.3874338584782158,True,,0.9375,0.875
control_points_S61_1_2,392,381,330,325,282,282,281,0.9373134328358209,0.9902864855758144,True,,1.0,1.0,371,371,311,309,236,236,231,0.9433962264150944,1.3918791292764432,True,,0.9375,0.9375,456,474,373,364,328,328,325,0.8637602179836512,0.9815235830233535,True,,1.0,1.0
control_points_S62_1_2,386,405,297,288,244,244,243,0.9225589225589226,1.9919695367921655,True,,1.0,1.0,372,384,275,270,237,237,235,0.931740614334471,2.1624673329462305,True,,0.9375,0.9375,461,467,333,326,286,286,285,0.9129129129129129,2.080913618331617,True,,1.0,1.0
control_points_S63_1_2,367,405,295,282,241,241,241,0.9037800687285223,2.5925358283931628,True,,0.9375,1.0,367,384,282,275,210,210,210,0.9498207885304659,3.090824490810555,True,,1.0,1.0,452,467,321,310,254,254,253,0.975,3.5537917881803573,True,,1.0,1.0
control_points_S64_1_2,367,386,277,269,218,218,209,0.9113475177304965,1.7880048092409435,True,,1.0,1.0,367,372,273,261,231,231,231,0.9473684210526315,2.508443157109416,True,,1.0,1.0,452,461,324,312,275,275,274,0.9240121580547113,2.1810786698941036,True,,1.0,0.9375
control_points_S65_1_2,433,423,325,320,280,280,265,0.9202453987730062,1.9933792018227865,True,,1.0,1.0,398,407,297,288,254,254,254,0.8675496688741722,1.2866859284942422,True,,1.0,1.0,484,497,359,348,319,319,316,0.8980716253443526,1.4720144205245949,True,,1.0,1.0
control_points_S66_1_2,376,388,311,308,268,268,263,0.9265175718849841,1.2973509223372155,True,,1.0,1.0,366,378,297,291,270,270,269,0.9335443037974683,1.5217028577079752,True,,1.0,1.0,464,475,378,371,327,327,324,0.8844086021505376,1.7344902745439996,True,,1.0,1.0
control_points_S67_1_2,374,388,293,285,237,237,234,0.916083916083916,1.3338337417836619,True,,1.0,1.0,359,378,278,274,221,221,216,0.9333333333333333,2.116141014141002,True,,1.0,1.0,466,475,343,336,262,262,254,0.8945868945868946,1.3755226260070985,True,,1.0,1.0
control_points_S68_1_2,374,376,275,273,218,218,209,0.903114186851211,1.1811329365257552,True,,0.9375,0.875,359,366,270,262,208,208,207,0.9035714285714286,0.9375980285515519,True,,1.0,0.9375,466,464,335,326,300,300,300,0.869942196531792,0.9476494377129816,True,,1.0,1.0
control_points_S69_1_2,364,340,228,222,168,168,167,0.9783549783549783,4.008126657050341,True,,0.875,0.875,343,336,221,211,155,155,154,0.9642857142857143,3.466377162857293,True,,0.8125,0.8125,449,439,272,266,243,243,242,0.9571428571428572,3.269610967501959,True,,0.9375,0.875
control_points_S70_1_2,340,320,188,180,155,155,155,0.9637305699481865,3.327447038917376,True,,0.875,0.8125,336,316,187,181,142,142,142,0.9783783783783784,3.950810628491859,True,,0.8125,0.8125,439,412,218,205,160,160,154,0.9298245614035088,3.768819515740941,True,,0.875,0.875
control_points_S71_1_2,364,320,190,182,138,138,115,0.9578947368421052,5.351773372088976,True,,0.6875,0.75,343,316,177,169,121,121,121,0.9786096256684492,5.6394190063578336,True,,0.8125,0.8125,449,412,215,206,131,131,127,0.9646017699115044,5.378559351295711,True,,0.6875,0.625
