batch_index,image_index,label_name,correspondence_count,is_empty,is_over_limit,participated_in_loss,batch_exit_reason
37,1,im0093.txt,631,0,0,1,trained
38,0,im0171.txt,517,0,0,1,trained
38,1,im0256.txt,570,0,0,1,trained
39,0,im0300.txt,650,0,0,1,trained
39,1,im0217.txt,677,0,0,1,trained
40,0,im0318.txt,465,0,0,1,trained
40,1,im0049.txt,655,0,0,1,trained
41,0,im0249.txt,504,0,0,1,trained
41,1,im0106.txt,529,0,0,1,trained
42,0,im0046.txt,634,0,0,1,trained
42,1,im0058.txt,582,0,0,1,trained
43,0,im0173.txt,591,0,0,1,trained
43,1,im0247.txt,596,0,0,1,trained
44,0,im0181.txt,612,0,0,1,trained
44,1,im0233.txt,676,0,0,1,trained
45,0,im0087.txt,639,0,0,1,trained
45,1,im0178.txt,621,0,0,1,trained
46,0,im0244.txt,553,0,0,1,trained
46,1,im0033.txt,685,0,0,1,trained
47,0,im0143.txt,569,0,0,1,trained
47,1,im0053.txt,565,0,0,1,trained
48,0,im0280.txt,641,0,0,1,trained
48,1,im0304.txt,656,0,0,1,trained
49,0,im0075.txt,553,0,0,1,trained
49,1,im0383.txt,605,0,0,1,trained
50,0,im0246.txt,610,0,0,1,trained
50,1,im0277.txt,526,0,0,1,trained
51,0,im0006.txt,599,0,0,1,trained
51,1,im0341.txt,589,0,0,1,trained
52,0,im0339.txt,509,0,0,1,trained
52,1,im0386.txt,386,0,0,1,trained
53,0,im0086.txt,672,0,0,1,trained
53,1,im0314.txt,320,0,0,1,trained
54,0,im0326.txt,626,0,0,1,trained
54,1,im0182.txt,511,0,0,1,trained
55,0,im0214.txt,351,0,0,1,trained
55,1,im0076.txt,689,0,0,1,trained
56,0,im0210.txt,771,0,0,1,trained
56,1,im0317.txt,397,0,0,1,trained
57,0,im0248.txt,616,0,0,1,trained
57,1,im0272.txt,530,0,0,1,trained
58,0,im0035.txt,500,0,0,1,trained
58,1,im0202.txt,713,0,0,1,trained
59,0,im0369.txt,680,0,0,1,trained
59,1,im0008.txt,557,0,0,1,trained
60,0,im0264.txt,606,0,0,1,trained
60,1,im0242.txt,684,0,0,1,trained
61,0,im0156.txt,613,0,0,1,trained
61,1,im0271.txt,528,0,0,1,trained
62,0,im0142.txt,661,0,0,1,trained
62,1,im0262.txt,637,0,0,1,trained
63,0,im0213.txt,752,0,0,1,trained
63,1,im0215.txt,625,0,0,1,trained
