pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_40_r_t,271,371,25,19,12,12,9,0.8947368421052632,17.963525438429745,True,,0.3125,0.25,283,378,21,15,7,7,4,0.6818181818181818,25.82307798041958,True,,0.3125,0.25,313,426,21,19,13,13,12,0.9058823529411765,17.519750963168004,True,,0.3125,0.25
control_points_41_r_t,366,387,233,225,198,198,197,0.932806324110672,3.126209774337811,True,,0.875,0.875,360,391,229,219,177,177,171,0.9285714285714286,3.9569788456624644,True,,0.875,0.875,427,452,253,243,220,220,217,0.914179104477612,3.3616336236938307,True,,0.9375,0.9375
control_points_42_r_t,384,393,256,247,217,217,209,0.9389312977099237,2.966656567286113,True,,1.0,1.0,370,390,242,232,194,194,192,0.8779527559055118,2.1501435683450696,True,,0.9375,1.0,446,441,255,246,211,211,206,0.9227941176470589,2.8522986100334737,True,,0.875,0.875
control_points_43_r_t,239,397,36,28,22,22,22,0.9340659340659341,7.2467777329560095,True,,0.4375,0.4375,245,394,34,26,17,17,16,0.8,6.794184748458155,True,,0.5,0.5,268,464,25,23,15,15,13,0.9166666666666666,7.713180449483012,True,,0.3125,0.375
control_points_44_r_t,277,406,78,72,44,44,44,0.9666666666666667,5.997663733604502,True,,0.4375,0.6875,259,396,68,61,40,40,40,0.9418604651162791,6.3540535072027025,True,,0.5,0.6875,312,446,74,57,42,42,42,0.9685863874345549,5.916068230114355,True,,0.3125,0.625
control_points_45_r_t,462,396,137,59,47,47,46,0.9583333333333334,5.424926512799147,True,,0.6875,0.625,468,393,133,59,56,56,55,0.934640522875817,4.925533567409251,True,,0.6875,0.6875,575,461,157,61,57,57,57,0.9567901234567902,5.450648247982758,True,,0.625,0.5625
control_points_46_r_t,506,399,145,55,52,52,51,0.9235294117647059,6.902795508292517,True,,0.8125,0.5625,484,396,125,41,40,40,40,0.9225352112676056,6.469919450729255,True,,0.75,0.625,609,446,136,50,41,41,41,0.9512195121951219,6.677826129640811,True,,0.5625,0.4375
control_points_47_r_t,269,397,57,48,32,32,32,0.9197080291970803,13.156107609277603,True,,0.5625,0.625,284,394,57,49,32,32,32,0.9333333333333333,12.230199550548535,True,,0.5625,0.5625,324,464,56,43,21,21,21,0.9266666666666666,12.438529753019736,True,,0.4375,0.5625
control_points_48_r_t,271,406,50,41,26,26,26,0.927007299270073,12.614223245614246,True,,0.375,0.5625,283,396,50,36,20,20,20,0.940677966101695,12.52372650725813,True,,0.4375,0.4375,313,446,36,28,21,21,21,0.9338235294117647,12.652180933062398,True,,0.5,0.5
control_points_49_r_t,239,371,64,50,36,36,36,0.9482758620689655,5.41315452170402,True,,0.5625,0.5625,245,363,69,57,41,41,41,0.9186991869918699,5.322020842907101,True,,0.6875,0.75,268,424,55,43,34,34,34,0.948905109489051,6.440808450851456,True,,0.5625,0.625
