method,pair_id,transform,transform_type,detected_original,detected_transformed,spatial_positive_pairs,detector_repeatability_original,detector_repeatability_symmetric,positive_descriptor_distance,nearest_spatial_negative_distance,descriptor_margin,ratio_matches,ratio_pass_rate,bidirectional_matches,bidirectional_pass_rate,ransac_inliers,ransac_inlier_rate,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,outer_border_original,outer_border_repeated,outer_border_repeatability
G0,30_r_t,gamma_135,gamma,652,649,594,0.911042944785276,0.9131437355880092,0.10394108512435699,0.999887714080939,0.8959466289565821,647,0.9923312883435583,616,0.9520865533230294,580,0.9415584415584416,60,0.9375,0.81147603135071,16,13,0.8125
G0,30_r_t,darker_contrast,brightness_contrast,652,645,604,0.9263803680981595,0.9313801079414032,0.09040887579815277,0.9999267159905655,0.9095178401924127,645,0.9892638036809815,618,0.958139534883721,595,0.9627831715210357,60,0.9375,0.8119530260436431,16,14,0.875
G0,30_r_t,gaussian_blur_12,gaussian_blur,652,638,583,0.8941717791411042,0.9038759689922481,0.12099404028564129,0.9999668392677046,0.8789727989820633,644,0.9877300613496932,606,0.9409937888198758,569,0.9389438943894389,60,0.9375,0.8150284393054316,16,14,0.875
G0,30_r_t,local_contrast_clahe,clahe,652,721,559,0.8573619631901841,0.8142753095411508,0.22906986214820302,1.1556613093411987,0.9265914471929957,611,0.9371165644171779,605,0.9901800327332242,530,0.8760330578512396,59,0.921875,0.8041023213741723,16,12,0.75
G0,30_r_t,low_frequency_shading,low_frequency_shading,652,637,590,0.9049079754601227,0.9154383242823895,0.13986733980729418,0.9999311254186145,0.8600637856113204,642,0.9846625766871165,607,0.9454828660436138,570,0.9390444810543658,60,0.9375,0.81147603135071,16,14,0.875
G0,39_r_t,identity,identity,318,318,318,1.0,1.0,0.0,1.1671353897208687,1.1671353897208687,318,1.0,318,1.0,318,1.0,37,0.578125,0.4098149889617627,0,0,0.0
G0,39_r_t,gamma_075,gamma,318,314,286,0.89937106918239,0.9050632911392406,0.10794163576060242,1.1680296230149436,1.0600879872543412,304,0.9559748427672956,303,0.9967105263157895,273,0.900990099009901,36,0.5625,0.40615299121942156,0,0,0.0
G0,39_r_t,gamma_135,gamma,318,293,256,0.8050314465408805,0.8379705400981997,0.11156020060298033,1.1660111057572067,1.0544509051542263,286,0.89937106918239,285,0.9965034965034965,235,0.8245614035087719,36,0.5625,0.3963729656064243,0,0,0.0
G0,39_r_t,darker_contrast,brightness_contrast,318,311,288,0.9056603773584906,0.9157392686804452,0.11253939130498718,1.1654498899976413,1.052910498692654,303,0.9528301886792453,303,1.0,269,0.8877887788778878,36,0.5625,0.40489879829675357,0,0,0.0
G0,39_r_t,gaussian_blur_12,gaussian_blur,318,315,291,0.9150943396226415,0.919431279620853,0.06652256763216965,1.1679478830488277,1.101425315416658,309,0.9716981132075472,309,1.0,279,0.9029126213592233,36,0.5625,0.40761660701017377,0,0,0.0
G0,39_r_t,local_contrast_clahe,clahe,318,354,253,0.7955974842767296,0.7529761904761905,0.23750413047230762,1.1675764793463848,0.9300723488740772,303,0.9528301886792453,303,1.0,224,0.7392739273927392,36,0.5625,0.4006939309342135,0,0,0.0
G0,39_r_t,low_frequency_shading,low_frequency_shading,318,314,291,0.9150943396226415,0.9208860759493671,0.08842862334704071,1.1669183615147043,1.0784897381676637,306,0.9622641509433962,306,1.0,278,0.9084967320261438,36,0.5625,0.4073451163837449,0,0,0.0
G0,40_r_t,identity,identity,320,320,320,1.0,1.0,0.0,1.1668502368032931,1.1668502368032931,320,1.0,320,1.0,320,1.0,39,0.609375,0.4117514806955876,0,0,0.0
G0,40_r_t,gamma_075,gamma,320,316,257,0.803125,0.8081761006289309,0.15278066926661169,1.1695850208575624,1.0168043515909508,295,0.921875,295,1.0,240,0.8135593220338984,37,0.578125,0.4060479448874028,0,0,0.0
G0,40_r_t,gamma_135,gamma,320,298,246,0.76875,0.7961165048543689,0.14755114475340864,1.170151337617781,1.0226001928643724,285,0.890625,282,0.9894736842105263,227,0.8049645390070922,36,0.5625,0.3925146060170896,0,0,0.0
G0,40_r_t,darker_contrast,brightness_contrast,320,325,274,0.85625,0.8496124031007752,0.13984280900798574,1.168312769084081,1.0284699600760954,300,0.9375,299,0.9966666666666667,256,0.8561872909698997,37,0.578125,0.39694653420781895,0,0,0.0
G0,40_r_t,gaussian_blur_12,gaussian_blur,320,333,278,0.86875,0.8514548238897397,0.12747787535458588,1.167189021333516,1.0397111459789303,310,0.96875,310,1.0,264,0.8516129032258064,38,0.59375,0.40445137459990854,0,0,0.0
G0,40_r_t,local_contrast_clahe,clahe,320,370,233,0.728125,0.6753623188405797,0.28826033909177573,1.164993869388564,0.8767335302967882,299,0.934375,299,1.0,208,0.6956521739130435,35,0.546875,0.39611609885831045,0,0,0.0
G0,40_r_t,low_frequency_shading,low_frequency_shading,320,336,285,0.890625,0.8689024390243902,0.13968715305652535,1.1678453359687537,1.0281581829122284,308,0.9625,308,1.0,270,0.8766233766233766,38,0.59375,0.40686040737882945,0,0,0.0
G0,50_r_t,identity,identity,318,318,318,1.0,1.0,0.0,1.1756582147670243,1.1756582147670243,318,1.0,318,1.0,318,1.0,37,0.578125,0.40537290219907407,0,0,0.0
G0,50_r_t,gamma_075,gamma,318,314,279,0.8773584905660378,0.8829113924050633,0.10804143004573374,1.176051107145125,1.0680096770993912,303,0.9528301886792453,300,0.9900990099009901,267,0.89,36,0.5625,0.4008069031850137,0,0,0.0
G0,50_r_t,gamma_135,gamma,318,310,271,0.8522012578616353,0.8630573248407644,0.11719864720952906,1.1791051102740298,1.0619064630645008,297,0.9339622641509434,297,1.0,256,0.8619528619528619,35,0.546875,0.39097597307956106,0,0,0.0
G0,50_r_t,darker_contrast,brightness_contrast,318,317,283,0.889937106918239,0.8913385826771654,0.10229331642626242,1.1781520639207255,1.075858747494463,305,0.9591194968553459,304,0.9967213114754099,269,0.8848684210526315,35,0.546875,0.401374555255487,0,0,0.0
G0,50_r_t,gaussian_blur_12,gaussian_blur,318,307,289,0.9088050314465409,0.9248,0.060118149224810534,1.176993787907399,1.1168756386825884,305,0.9591194968553459,304,0.9967213114754099,281,0.9243421052631579,36,0.5625,0.40280077410550985,0,0,0.0
G0,50_r_t,local_contrast_clahe,clahe,318,347,242,0.7610062893081762,0.7278195488721805,0.24846854667402496,1.1774292268043707,0.9289606801303457,296,0.9308176100628931,293,0.9898648648648649,227,0.7747440273037542,35,0.546875,0.39786102894947417,0,0,0.0
G0,50_r_t,low_frequency_shading,low_frequency_shading,318,326,284,0.8930817610062893,0.8819875776397516,0.11022896468508202,1.17579012836369,1.065561163678608,305,0.9591194968553459,304,0.9967213114754099,271,0.8914473684210527,37,0.578125,0.4045655748099566,0,0,0.0
G0,60_r_t,identity,identity,284,284,284,1.0,1.0,0.0,1.1683434906979682,1.1683434906979682,284,1.0,284,1.0,284,1.0,36,0.5625,0.3796062984039209,0,0,0.0
G0,60_r_t,gamma_075,gamma,284,277,250,0.8802816901408451,0.8912655971479501,0.12074930736422539,1.168452835083008,1.0477035277187825,268,0.9436619718309859,267,0.996268656716418,237,0.8876404494382022,35,0.546875,0.37492453632258804,0,0,0.0
G0,60_r_t,gamma_135,gamma,284,277,247,0.8697183098591549,0.8805704099821747,0.12442218108849246,1.1707104960916497,1.0462883150031572,268,0.9436619718309859,267,0.996268656716418,241,0.9026217228464419,35,0.546875,0.3769140535693873,0,0,0.0
G0,60_r_t,darker_contrast,brightness_contrast,284,273,243,0.8556338028169014,0.8725314183123878,0.11386959548319073,1.169759019412131,1.0558894239289403,269,0.9471830985915493,267,0.9925650557620818,235,0.8801498127340824,34,0.53125,0.37666846171982166,0,0,0.0
G0,60_r_t,gaussian_blur_12,gaussian_blur,284,283,261,0.9190140845070423,0.9206349206349206,0.08502446771581511,1.168132215395741,1.0831077476799258,277,0.9753521126760564,276,0.9963898916967509,252,0.9130434782608695,36,0.5625,0.37671758008973477,0,0,0.0
G0,60_r_t,local_contrast_clahe,clahe,284,325,217,0.7640845070422535,0.7126436781609196,0.2769507180710542,1.1743497161821286,0.8973989981110744,267,0.9401408450704225,266,0.9962546816479401,193,0.7255639097744361,33,0.515625,0.35963566225851623,0,0,0.0
G0,60_r_t,low_frequency_shading,low_frequency_shading,284,291,253,0.8908450704225352,0.88,0.13800407148779853,1.1672127517786892,1.0292086802908906,275,0.9683098591549296,275,1.0,241,0.8763636363636363,36,0.5625,0.3776062876871856,0,0,0.0
G7,01_r_t,identity,identity,497,497,497,1.0,1.0,0.0,1.1633585859352433,1.1633585859352433,497,1.0,497,1.0,497,1.0,49,0.765625,0.5922454656535541,0,0,0.0
G7,01_r_t,gamma_075,gamma,497,490,453,0.9114688128772636,0.9179331306990881,0.09866528288681249,1.165876420260002,1.0672111373731896,472,0.9496981891348089,471,0.9978813559322034,432,0.9171974522292994,47,0.734375,0.5868058259537795,0,0,0.0
G7,01_r_t,gamma_135,gamma,497,501,458,0.9215291750503019,0.9178356713426854,0.1033714701824183,1.1641496832454048,1.0607782130629866,479,0.9637826961770624,477,0.9958246346555324,443,0.9287211740041929,48,0.75,0.5846769034798861,0,0,0.0
G7,01_r_t,darker_contrast,brightness_contrast,497,505,469,0.9436619718309859,0.936127744510978,0.08119339200812997,1.1647479624382213,1.0835545704300913,483,0.971830985915493,482,0.9979296066252588,459,0.9522821576763485,47,0.734375,0.5807552407811202,0,0,0.0
G7,01_r_t,gaussian_blur_12,gaussian_blur,497,492,469,0.9436619718309859,0.948432760364004,0.0622995712998897,1.1645691243570242,1.1022695530571345,483,0.971830985915493,483,1.0,457,0.9461697722567288,49,0.765625,0.589563308413433,0,0,0.0
G7,01_r_t,local_contrast_clahe,clahe,497,540,406,0.8169014084507042,0.7830279652844745,0.23945022508355196,1.1655448152513928,0.9260945901678408,467,0.9396378269617707,464,0.9935760171306209,368,0.7931034482758621,48,0.75,0.5846801482585736,0,0,0.0
