pair_id,region,final_matches,ransac_inliers
57_r_t,vessel_edge,17,17
57_r_t,non_vessel,21,18
58_r_t,vessel_core,99,95
58_r_t,vessel_edge,21,20
58_r_t,non_vessel,18,17
59_r_t,vessel_core,11,10
59_r_t,vessel_edge,4,2
59_r_t,non_vessel,7,5
60_r_t,vessel_core,14,14
60_r_t,vessel_edge,4,3
60_r_t,non_vessel,6,6
61_r_t,vessel_core,17,15
61_r_t,vessel_edge,0,0
61_r_t,non_vessel,3,3
62_r_t,vessel_core,14,9
62_r_t,vessel_edge,4,4
62_r_t,non_vessel,7,5
63_r_t,vessel_core,150,133
63_r_t,vessel_edge,23,20
63_r_t,non_vessel,27,23
64_r_t,vessel_core,120,115
64_r_t,vessel_edge,27,24
64_r_t,non_vessel,36,32
65_r_t,vessel_core,29,24
65_r_t,vessel_edge,7,7
65_r_t,non_vessel,23,23
66_r_t,vessel_core,28,20
66_r_t,vessel_edge,8,7
66_r_t,non_vessel,18,15
67_r_t,vessel_core,42,42
67_r_t,vessel_edge,9,9
67_r_t,non_vessel,16,16
68_r_t,vessel_core,26,18
68_r_t,vessel_edge,3,3
68_r_t,non_vessel,11,9
69_r_t,vessel_core,36,36
69_r_t,vessel_edge,4,4
69_r_t,non_vessel,13,13
70_r_t,vessel_core,34,28
70_r_t,vessel_edge,9,8
70_r_t,non_vessel,8,8
