dataset,image,perturbation_type,perturbation,mask_iou,skeleton_f1,junction_repeatability,valid_fraction
FIRE,S47_1.jpg,photometric,brightness_minus30,0.9852384425688583,0.9981859763244455,0.9556245686680469,1.0
FIRE,S47_1.jpg,photometric,brightness_plus30,0.9873164451249217,0.9986629648047101,0.9626162299239223,1.0
FIRE,S47_1.jpg,photometric,contrast_070,0.8989778773452815,0.9808226490609668,0.7934993531694696,1.0
FIRE,S47_1.jpg,photometric,contrast_130,0.9769008662175168,0.9968412020822742,0.9432777302537781,1.0
FIRE,S47_1.jpg,photometric,gaussian_blur,0.6417544164998694,0.7998402319933013,0.6302803379416282,1.0
FIRE,S47_1.jpg,affine,rotate_minus10_translate,0.8552358401537379,0.9546943592805479,0.7629901960784313,0.9226226806640625
FIRE,S47_1.jpg,affine,rotate_plus10_translate,0.8560534819703524,0.9565530825636489,0.764086814086814,0.9226226806640625
FIRE,S47_1.jpg,affine,scale_095,0.8557783982566058,0.95594954803469,0.7636330049261084,1.0
FIRE,S47_1.jpg,affine,scale_105,0.8364873158756138,0.9582547079435237,0.7656672642636976,0.908447265625
FIRE,S54_1.jpg,photometric,brightness_minus30,0.9867140951534015,0.998505850472166,0.9472291040460364,1.0
FIRE,S54_1.jpg,photometric,brightness_plus30,0.9697148898804724,0.9945006898866893,0.9088457813031755,1.0
FIRE,S54_1.jpg,photometric,contrast_070,0.879124030035304,0.9649987533311806,0.7624169752542174,1.0
FIRE,S54_1.jpg,photometric,contrast_130,0.9827747977410731,0.9967618312722415,0.9402999935928407,1.0
FIRE,S54_1.jpg,photometric,gaussian_blur,0.6810772248974496,0.7967077773003179,0.6474192728948333,1.0
FIRE,S54_1.jpg,affine,rotate_minus10_translate,0.8609329548242386,0.9434392599319319,0.755729163757162,0.9226226806640625
FIRE,S54_1.jpg,affine,rotate_plus10_translate,0.8555814117481136,0.9400080065589778,0.7311933642019146,0.9226226806640625
FIRE,S54_1.jpg,affine,scale_095,0.8555211558307534,0.9396760163785869,0.7263322276357602,1.0
FIRE,S54_1.jpg,affine,scale_105,0.721345785187921,0.8821494617392669,0.7014271572150059,0.908447265625
FIRE,S56_2.jpg,photometric,brightness_minus30,0.9850170761264735,0.9980868705813728,0.9530574941841143,1.0
FIRE,S56_2.jpg,photometric,brightness_plus30,0.9669654253843165,0.9945362601143634,0.907205078394745,1.0
FIRE,S56_2.jpg,photometric,contrast_070,0.8763929557723532,0.9627846165239784,0.7624779196593303,1.0
FIRE,S56_2.jpg,photometric,contrast_130,0.9723946309838127,0.9964667349283488,0.9207956352939164,1.0
FIRE,S56_2.jpg,photometric,gaussian_blur,0.6509944751381216,0.771984643459425,0.623918454426929,1.0
FIRE,S56_2.jpg,affine,rotate_minus10_translate,0.860604008667389,0.9519141893845142,0.7571172519402777,0.9226226806640625
FIRE,S56_2.jpg,affine,rotate_plus10_translate,0.8295889362632557,0.9344943276245304,0.7328326202826121,0.9226226806640625
FIRE,S56_2.jpg,affine,scale_095,0.8445291795121423,0.9400785895837775,0.7190921139021959,1.0
FIRE,S56_2.jpg,affine,scale_105,0.8518984601228654,0.959928084585868,0.7406511319433384,0.908447265625
FIRE,S61_1.jpg,photometric,brightness_minus30,0.9860822770979021,0.9984067595808981,0.9505656219392752,1.0
FIRE,S61_1.jpg,photometric,brightness_plus30,0.988193398164635,0.9984441929749865,0.9584411764705882,1.0
FIRE,S61_1.jpg,photometric,contrast_070,0.8196712275915286,0.9317449543288789,0.6551965174129353,1.0
FIRE,S61_1.jpg,photometric,contrast_130,0.9791124131944444,0.9973680784501392,0.935110127826942,1.0
FIRE,S61_1.jpg,photometric,gaussian_blur,0.678833012807398,0.7885096013369942,0.5850247349823322,1.0
FIRE,S61_1.jpg,affine,rotate_minus10_translate,0.8446574379494944,0.9454102453788891,0.7461214574898785,0.9226226806640625
FIRE,S61_1.jpg,affine,rotate_plus10_translate,0.8084492473528051,0.9207807846083291,0.6884196428571429,0.9226226806640625
FIRE,S61_1.jpg,affine,scale_095,0.8447083422689255,0.9423522526830814,0.7177586206896551,1.0
FIRE,S61_1.jpg,affine,scale_105,0.8327563679467666,0.9513182942737044,0.7313720136518771,0.908447265625
FIRE,S67_2.jpg,photometric,brightness_minus30,0.9869311866347805,0.9985208439516516,0.9275141533710757,1.0
FIRE,S67_2.jpg,photometric,brightness_plus30,0.9749753995453158,0.9968702979084623,0.9005510558123537,1.0
FIRE,S67_2.jpg,photometric,contrast_070,0.8588951850972142,0.9576630336791745,0.7313788201847904,1.0
FIRE,S67_2.jpg,photometric,contrast_130,0.9789646177513209,0.9964027059074292,0.9161533526736798,1.0
FIRE,S67_2.jpg,photometric,gaussian_blur,0.7335560730316223,0.8588512345087087,0.6765450231920697,1.0
FIRE,S67_2.jpg,affine,rotate_minus10_translate,0.8856717053438365,0.959106779692938,0.7663443346647046,0.9226226806640625
FIRE,S67_2.jpg,affine,rotate_plus10_translate,0.8861299550469963,0.9581481289730149,0.7735027394672209,0.9226226806640625
FIRE,S67_2.jpg,affine,scale_095,0.8638156150583245,0.9534939595336389,0.7105524201565734,1.0
FIRE,S67_2.jpg,affine,scale_105,0.8784670933858526,0.9670324013995243,0.7537059023066486,0.908447265625
FIRE,S70_1.jpg,photometric,brightness_minus30,0.9880480252078013,0.9985668449724785,0.953835403048523,1.0
FIRE,S70_1.jpg,photometric,brightness_plus30,0.9882452178172022,0.9983978972831012,0.9577418780067708,1.0
FIRE,S70_1.jpg,photometric,contrast_070,0.8952115447687766,0.9709064009767612,0.7563021450190814,1.0
FIRE,S70_1.jpg,photometric,contrast_130,0.9762064433058827,0.9960587291386365,0.9145958690118028,1.0
FIRE,S70_1.jpg,photometric,gaussian_blur,0.7037238379994564,0.8359979236273563,0.6461572225526011,1.0
FIRE,S70_1.jpg,affine,rotate_minus10_translate,0.8526056451180976,0.9389491729068673,0.7384954067304488,0.9226226806640625
FIRE,S70_1.jpg,affine,rotate_plus10_translate,0.855080630014221,0.9479552345884917,0.7399175791828565,0.9226226806640625
FIRE,S70_1.jpg,affine,scale_095,0.8667146589878952,0.9553941275628486,0.7034583497828661,1.0
FIRE,S70_1.jpg,affine,scale_105,0.7371815286624204,0.89519725686785,0.6447597922117316,0.908447265625
FIMD,02_t.jpg,photometric,brightness_minus30,0.9860614242321971,0.997903494060063,0.9566037735849057,1.0
FIMD,02_t.jpg,photometric,brightness_plus30,0.9850313043184772,0.9983048211074916,0.9515136374090906,1.0
FIMD,02_t.jpg,photometric,contrast_070,0.8897645802613515,0.9640106468874957,0.7450883284436429,1.0
FIMD,02_t.jpg,photometric,contrast_130,0.9583640081799591,0.9925456779612569,0.8778896046829745,1.0
FIMD,02_t.jpg,photometric,gaussian_blur,0.6214556006176715,0.7655771639298636,0.5712986767760396,1.0
FIMD,02_t.jpg,affine,rotate_minus10_translate,0.8381633296285852,0.9347049764283569,0.7439010261502814,0.9226226806640625
FIMD,02_t.jpg,affine,rotate_plus10_translate,0.8600467173599722,0.9492266918363317,0.7575136645110244,0.9226226806640625
FIMD,02_t.jpg,affine,scale_095,0.8522535351193827,0.9420984948853486,0.7008369981557667,1.0
FIMD,02_t.jpg,affine,scale_105,0.8678510545843501,0.9703300897987153,0.7499789209233496,0.908447265625
FIMD,07_r.jpg,photometric,brightness_minus30,0.9862205253676767,0.9974001687316985,0.9547322353931856,1.0
FIMD,07_r.jpg,photometric,brightness_plus30,0.9852666388847814,0.9973183171881516,0.9481939856198989,1.0
FIMD,07_r.jpg,photometric,contrast_070,0.8780747653468551,0.9529468048191023,0.7858386343960553,1.0
FIMD,07_r.jpg,photometric,contrast_130,0.9661721068249258,0.9914709170183981,0.9083865395025953,1.0
FIMD,07_r.jpg,photometric,gaussian_blur,0.49928370634663205,0.669627822696689,0.5735485655152726,1.0
FIMD,07_r.jpg,affine,rotate_minus10_translate,0.8313476269394893,0.9279745915389834,0.7481854838709677,0.9226226806640625
FIMD,07_r.jpg,affine,rotate_plus10_translate,0.8200418140458376,0.9190902785748224,0.7145502896231832,0.9226226806640625
FIMD,07_r.jpg,affine,scale_095,0.8264061262212833,0.9282376800183513,0.7175539185905224,1.0
FIMD,07_r.jpg,affine,scale_105,0.8002232292941382,0.9259284566941178,0.7299507168458781,0.908447265625
FIMD,08_r.jpg,photometric,brightness_minus30,0.9803074378279717,0.9963758229508006,0.9420713677193099,1.0
