dataset,image,variant,mask_iou_to_baseline,skeleton_f1_to_baseline,junction_repeatability_to_baseline,baseline_area_fraction,variant_area_fraction,baseline_junction_count,variant_junction_count
Lab4,im0255.ppm,kernel_21,0.813935359551546,0.9420999251093506,0.7596861471861471,0.1602867974175347,0.1908298068576389,1452,1680
Lab4,im0291.ppm,threshold_015,0.3701024399628074,0.5393062965199176,0.43743416001298796,0.1565636528862847,0.4230278862847222,1599,3074
Lab4,im0291.ppm,threshold_035,0.3661703394877904,0.5882717383483678,0.512704216226223,0.1565636528862847,0.05732896592881945,1599,527
Lab4,im0291.ppm,kernel_09,0.5926577382789195,0.860122645823997,0.6903841416036538,0.1565636528862847,0.10594685872395833,1599,1287
Lab4,im0291.ppm,kernel_21,0.7697777164158498,0.9268667219484877,0.728153128435077,0.1565636528862847,0.14769490559895834,1599,1436
Lab4,im0326.ppm,threshold_015,0.42763591997310857,0.5841491744875935,0.46495308332529967,0.17470804850260416,0.4085439046223958,1518,2460
Lab4,im0326.ppm,threshold_035,0.3958582006268984,0.6500047757732934,0.5705029474166032,0.17470804850260416,0.06915961371527778,1518,639
Lab4,im0326.ppm,kernel_09,0.4530192559356889,0.7965976357296463,0.6515309302343929,0.17470804850260416,0.08883497450086805,1518,1169
Lab4,im0326.ppm,kernel_21,0.71268949097375,0.9224084527204208,0.7343661153872825,0.17470804850260416,0.2106865776909722,1518,1520
Lab4,im0328.ppm,threshold_015,0.3969849490602281,0.5911855996964597,0.49610352933992796,0.1384039984809028,0.3486378987630208,1236,2544
Lab4,im0328.ppm,threshold_035,0.4380650219271382,0.6436063554520054,0.5382516745691277,0.1384039984809028,0.060629950629340276,1236,473
Lab4,im0328.ppm,kernel_09,0.480771376690303,0.804088361614439,0.6540899956772166,0.1384039984809028,0.10907660590277778,1236,1385
Lab4,im0328.ppm,kernel_21,0.7746366182157621,0.9405686610305697,0.7421000640893225,0.1384039984809028,0.1549106174045139,1236,1222
Lab4,im0330.ppm,threshold_015,0.3785056575665358,0.5762084258789966,0.47842525404009495,0.13095262315538195,0.3459726969401042,1234,2410
Lab4,im0330.ppm,threshold_035,0.4123305583966649,0.6247567811694119,0.5338711375678288,0.13095262315538195,0.053995768229166664,1234,431
Lab4,im0330.ppm,kernel_09,0.5197705590160057,0.8143514210672795,0.6492861732726251,0.13095262315538195,0.1304846869574653,1234,1531
Lab4,im0330.ppm,kernel_21,0.748405712489334,0.9177793738319416,0.7337955102531062,0.13095262315538195,0.13307020399305555,1234,1093
FIRE,A05_2.jpg,threshold_015,0.3654904847341706,0.5937631619393405,0.553659250251443,0.08081732855902778,0.22112019856770834,682,1799
FIRE,A05_2.jpg,threshold_035,0.45231601913233194,0.6979017988290132,0.6008389019758665,0.08081732855902778,0.036554972330729164,682,305
FIRE,A05_2.jpg,kernel_09,0.4675981642019378,0.807778354485479,0.6767104176750278,0.08081732855902778,0.04116651746961805,682,515
FIRE,A05_2.jpg,kernel_21,0.731025633000532,0.9250900029708541,0.7752969392416629,0.08081732855902778,0.1067233615451389,682,796
FIRE,A13_1.jpg,threshold_015,0.347592598678805,0.545761979655462,0.518151008333408,0.08965555826822917,0.2579328748914931,752,2377
FIRE,A13_1.jpg,threshold_035,0.5892097350655244,0.8054264689596763,0.6063829787234043,0.08965555826822917,0.052825927734375,752,444
FIRE,A13_1.jpg,kernel_09,0.7090878352994214,0.9235757589123778,0.6993076663289429,0.08965555826822917,0.0646023220486111,752,630
FIRE,A13_1.jpg,kernel_21,0.8162159659196148,0.9459362355531618,0.741309310864244,0.08965555826822917,0.10984293619791667,752,904
FIRE,P31_2.jpg,threshold_015,0.38266435324334663,0.5892141983337714,0.5337140426069797,0.09497578938802083,0.2481960720486111,781,2188
FIRE,P31_2.jpg,threshold_035,0.5973330477159535,0.8047249580305025,0.599270424253882,0.09497578938802083,0.056732177734375,781,447
FIRE,P31_2.jpg,kernel_09,0.7575784063494283,0.9377938776015788,0.7191928045049669,0.09497578938802083,0.07547675238715278,781,691
FIRE,P31_2.jpg,kernel_21,0.8129989782311275,0.9262657666137477,0.7145445864710606,0.09497578938802083,0.08251444498697917,781,649
FIRE,P35_2.jpg,threshold_015,0.3460281109552572,0.5173519441517594,0.489762173959781,0.10246955023871528,0.2961307101779514,799,2608
FIRE,P35_2.jpg,threshold_035,0.5715349360512252,0.7843715897962764,0.6095859782444758,0.10246955023871528,0.05856492784288195,799,473
FIRE,P35_2.jpg,kernel_09,0.685353934487041,0.9068085354349061,0.6678451625578485,0.10246955023871528,0.07469685872395833,799,688
FIRE,P35_2.jpg,kernel_21,0.8416711316657737,0.94174721631339,0.7629593261673555,0.10246955023871528,0.11897786458333333,799,933
FIRE,P38_2.jpg,threshold_015,0.3979690209004134,0.6150312654635492,0.5109735801955482,0.1770714653862847,0.4449378119574653,1771,2926
FIRE,P38_2.jpg,threshold_035,0.5116477245526182,0.7484597003325812,0.6283940024141592,0.1770714653862847,0.09059821234809028,1771,893
FIRE,P38_2.jpg,kernel_09,0.7086745008261869,0.9059734367466409,0.7176161339396028,0.1770714653862847,0.136749267578125,1771,1478
FIRE,P38_2.jpg,kernel_21,0.7825083082886061,0.9298353164582734,0.7653121640518279,0.1770714653862847,0.22213914659288195,1771,1956
FIRE,P40_1.jpg,threshold_015,0.31645354989972696,0.4677520073391216,0.4892678900639468,0.0917629665798611,0.2899729410807292,711,2735
FIRE,P40_1.jpg,threshold_035,0.5973874806001035,0.8008887842733262,0.5918622213908116,0.0917629665798611,0.054818047417534724,711,406
FIRE,P40_1.jpg,kernel_09,0.6611049080815864,0.8705902061335927,0.6510244421636826,0.0917629665798611,0.08732096354166667,711,851
FIRE,P40_1.jpg,kernel_21,0.8440972551999241,0.9364556458147261,0.7734345716457072,0.0917629665798611,0.10575188530815972,711,818
FIRE,P46_1.jpg,threshold_015,0.3638310912080777,0.5045238681940118,0.48969579265239704,0.10165574815538195,0.2794036865234375,768,2663
