pair_id,region,final_matches,ransac_inliers
26_r_t,vessel_edge,14,12
26_r_t,non_vessel,22,20
27_r_t,vessel_core,130,124
27_r_t,vessel_edge,36,35
27_r_t,non_vessel,52,49
28_r_t,vessel_core,20,16
28_r_t,vessel_edge,2,2
28_r_t,non_vessel,12,10
29_r_t,vessel_core,30,28
29_r_t,vessel_edge,10,10
29_r_t,non_vessel,5,5
30_r_t,vessel_core,30,29
30_r_t,vessel_edge,4,4
30_r_t,non_vessel,11,11
31_r_t,vessel_core,27,24
31_r_t,vessel_edge,3,3
31_r_t,non_vessel,19,18
32_r_t,vessel_core,23,22
32_r_t,vessel_edge,4,2
32_r_t,non_vessel,6,3
33_r_t,vessel_core,110,106
33_r_t,vessel_edge,13,13
33_r_t,non_vessel,37,36
34_r_t,vessel_core,99,88
34_r_t,vessel_edge,27,21
34_r_t,non_vessel,48,43
35_r_t,vessel_core,9,7
35_r_t,vessel_edge,0,0
35_r_t,non_vessel,5,5
36_r_t,vessel_core,12,9
36_r_t,vessel_edge,7,6
36_r_t,non_vessel,9,7
37_r_t,vessel_core,61,57
37_r_t,vessel_edge,19,18
37_r_t,non_vessel,21,20
38_r_t,vessel_core,48,38
38_r_t,vessel_edge,11,9
38_r_t,non_vessel,19,19
39_r_t,vessel_core,16,16
39_r_t,vessel_edge,1,1
39_r_t,non_vessel,3,3
40_r_t,vessel_core,9,9
40_r_t,vessel_edge,1,1
40_r_t,non_vessel,1,1
41_r_t,vessel_core,126,125
41_r_t,vessel_edge,22,22
41_r_t,non_vessel,56,55
42_r_t,vessel_core,134,108
42_r_t,vessel_edge,26,17
42_r_t,non_vessel,45,39
43_r_t,vessel_core,12,11
43_r_t,vessel_edge,0,0
43_r_t,non_vessel,11,7
44_r_t,vessel_core,17,12
44_r_t,vessel_edge,8,5
44_r_t,non_vessel,17,12
45_r_t,vessel_core,91,75
45_r_t,vessel_edge,24,23
45_r_t,non_vessel,28,18
46_r_t,vessel_core,80,72
46_r_t,vessel_edge,15,14
46_r_t,non_vessel,24,21
47_r_t,vessel_core,24,23
47_r_t,vessel_edge,3,2
47_r_t,non_vessel,2,1
48_r_t,vessel_core,13,10
48_r_t,vessel_edge,2,1
48_r_t,non_vessel,2,2
49_r_t,vessel_core,20,20
49_r_t,vessel_edge,3,3
49_r_t,non_vessel,25,20
50_r_t,vessel_core,32,31
50_r_t,vessel_edge,9,9
50_r_t,non_vessel,35,30
51_r_t,vessel_core,90,90
51_r_t,vessel_edge,23,23
51_r_t,non_vessel,25,25
52_r_t,vessel_core,94,85
52_r_t,vessel_edge,18,18
52_r_t,non_vessel,32,31
53_r_t,vessel_core,42,41
53_r_t,vessel_edge,5,5
53_r_t,non_vessel,6,5
54_r_t,vessel_core,33,27
54_r_t,vessel_edge,8,8
54_r_t,non_vessel,6,6
55_r_t,vessel_core,112,111
55_r_t,vessel_edge,34,34
55_r_t,non_vessel,38,37
56_r_t,vessel_core,125,122
56_r_t,vessel_edge,35,33
56_r_t,non_vessel,50,48
57_r_t,vessel_core,119,108
57_r_t,vessel_edge,11,10
57_r_t,non_vessel,24,22
58_r_t,vessel_core,111,107
58_r_t,vessel_edge,20,20
58_r_t,non_vessel,25,25
59_r_t,vessel_core,13,12
59_r_t,vessel_edge,1,1
59_r_t,non_vessel,10,8
60_r_t,vessel_core,5,4
60_r_t,vessel_edge,4,4
60_r_t,non_vessel,11,11
61_r_t,vessel_core,10,7
61_r_t,vessel_edge,4,4
61_r_t,non_vessel,5,5
62_r_t,vessel_core,15,12
62_r_t,vessel_edge,5,4
62_r_t,non_vessel,9,7
63_r_t,vessel_core,164,160
63_r_t,vessel_edge,16,15
63_r_t,non_vessel,28,26
64_r_t,vessel_core,114,111
64_r_t,vessel_edge,24,24
64_r_t,non_vessel,42,39
65_r_t,vessel_core,25,24
65_r_t,vessel_edge,8,8
65_r_t,non_vessel,20,19
66_r_t,vessel_core,19,18
66_r_t,vessel_edge,11,8
66_r_t,non_vessel,17,16
67_r_t,vessel_core,91,90
67_r_t,vessel_edge,15,15
67_r_t,non_vessel,26,24
68_r_t,vessel_core,20,17
68_r_t,vessel_edge,3,3
68_r_t,non_vessel,12,12
69_r_t,vessel_core,28,27
69_r_t,vessel_edge,7,7
69_r_t,non_vessel,7,7
70_r_t,vessel_core,29,23
70_r_t,vessel_edge,6,4
70_r_t,non_vessel,12,9
